#TAMEX MODULE, TAMEX CHANNEL, DETECTOR ID, STREAM (Up/Down), POSITION (Bottom, Top, Left, Right) 
0   1   25   D   R
0   2   7    U   T
0   3   26   U   R
0   4   8    U   T
0   5   27   U   R
0   6   1    U   T
0   7   28   U   R
0   8   2    U   T
0   9   29   U   R
0   10  10   U   T
0   11  30   U   R
0   12  9    U   T
0   13  31   U   R
0   14  6    U   T
0   15  32   U   R
0   16  5    U   T
1   1   4    U   T
1   2   18   U   T
1   3   3    U   T
1   4   17   U   T
1   5   16   U   T
1   6   19   U   T
1   7   15   U   T
1   8   20   U   T
1   9   13   U   T
1   10  22   U   T
1   11  14   U   T
1   12  21   U   T
1   13  12   U   T
1   14  24   U   T
1   15  11   U   T
1   16  23   U   T
3   1   48   U   T
3   2   49   U   T
3   3   50   U   T
3   4   51   U   T
3   5   52   U   T
3   6   53   U   T
3   7   54   U   T
3   8   55   U   T
3   9   56   U   T
3   10  57   U   T
3   11  58   U   T
3   12  59   U   T
3   13  60   U   T
3   14  61   U   T
3   15  62   U   T
3   16  63   U   T
4   1   64   U   T
4   2   65   U   T
4   3   66   U   T
4   4   67   U   T
4   5   68   U   T
4   6   69   U   T
4   7   70   U   T
4   8   71   U   T
4   9   72   U   T
4   10  73   U   T
4   11  74   U   T
4   12  75   U   T
4   13  76   U   T
4   14  77   U   T
4   15  78   U   T
4   16  79   U   T
