# MCP
# TYPE 0 = T, 1 = X, 2 = Y
# TAMEXID     TAMEXCHAN       MCP     TYPE        NUMBER
    0           9               0       0           0
    0           12              1       0           0
    0           1               0       1           0
    0           2               1       1           0
    0           3               0       1           1
    0           4               1       1           1
    0           5               0       2           0
    0           6               1       2           0
    0           7               0       2           1
    0           8               1       2           1

