# z x y slope intercept
1 0 0 0.000121101 0.00498518
1 0 1 0.00011933 0.0297698
1 0 2 0.00011952 -0.00980675
1 0 3 0.000125791 -0.0741318
1 0 4 0.000118812 -0.000221877
1 1 0 0.000123173 0.0134695
1 1 1 0.000119841 0.0440853
1 1 2 0.000121786 -0.072814
1 1 3 0.000122056 -0.0452987
1 1 4 0.000119453 -0.0497571
1 2 0 0.000120384 -0.0618548
1 2 1 0.000118433 0.0538126
1 2 2 0.000119428 -0.0597447
1 2 3 0.000122166 -0.0248378
1 2 4 0.000120106 0.00303204
1 3 0 0.000119602 -0.0405797
1 3 1 0.00011826 -0.00439879
1 3 2 0.000117934 -0.0367974
1 3 3 0.000119895 -0.0904021
1 3 4 0.000117158 -0.0467039
1 4 0 0.000120298 -0.0325173
1 4 1 0.000121407 0.0334363
1 4 2 0.000121054 -0.0306469
1 4 3 0.000120781 -0.0948022
1 4 4 0.000116357 -0.0499438
2 0 0 0.000117615 0.280872
2 0 1 0.000115471 0.273104
2 0 2 0.000113532 0.294407
2 0 3 0.000120319 0.287202
2 0 4 0.000121738 0.282068
2 1 0 0.000117868 0.267994
2 1 1 0.000115544 0.282917
2 1 2 0.00011933 0.291226
2 1 3 0.000118445 0.296575
2 1 4 0.000119401 0.27799
2 2 0 0.000120882 0.321629
2 2 1 0.000117628 0.288814
2 2 2 0.000119428 0.29531
2 2 3 0.000119846 0.28649
2 2 4 0.000119069 0.318384
2 3 0 0.000119259 0.31177
2 3 1 0.000121295 0.302785
2 3 2 0.00011953 0.309128
2 3 3 0.000120295 0.295099
2 3 4 0.000118724 0.310016
2 4 0 0.000120746 0.31702
2 4 1 0.000119057 0.322637
2 4 2 0.000119413 0.301904
2 4 3 0.000118946 0.320023
2 4 4 0.000117902 0.317216
