#Bins 20 min
#BinCenter	BinContent	BinError
2010	1956.62	0.046304
2030	1959.88	0.0359374
2050	1959.39	0.0300968
2070	1956.79	0.0359565
2090	1958.24	0.0318323
2110	1957.83	0.0287436
2130	1957.81	0.044174
2170	1957.36	0.0601422
2190	1957.02	0.0450814
2210	1956.63	0.0349159
2230	1956.52	0.0362498
2250	1954.03	0.0480727
2270	1951.94	0.0386885
2290	1951.72	0.05211
2310	1951.28	0.0488933
2330	1951.1	0.0548102
2350	1950.76	0.0488899
2370	1950.74	0.0480745
2390	1951.32	0.056931
2410	1951.09	0.0496189
2430	1950.23	0.0503627
2450	1950.04	0.049471
2470	1950.2	0.0533068
2490	1950.22	0.0559573
2510	1950.07	0.0535015
2530	1950.23	0.0519533
2550	1948.49	0.0611053
2570	1948.22	0.0716776
2590	1949.06	0.0691478
2610	1950.84	0.0799985
2630	1950.77	0.0533452
2650	1952.2	0.0561631
2670	1952.08	0.049061
2690	1952.32	0.0489374
2710	1952.63	0.0523664
2730	1953.07	0.0348079
2750	1953.67	0.0326365
2770	1953.98	0.0362917
2790	1954.33	0.0474894
2810	1954.32	0.0496391
2830	1954.51	0.0476735
2850	1955.11	0.0474839
2870	1955.64	0.0471298
2890	1955.94	0.048113
2910	1956.28	0.0488648
2930	1956.36	0.0493142
2950	1956.28	0.0520823
2970	1956.37	0.0476761
2990	1956.24	0.0490084
3010	1960.12	0.0530606
3030	1963.75	0.0433052
3050	1963.67	0.0462134
3070	1964.12	0.0319049
3190	1965.14	0.167528
3210	1964.7	0.0441194
3230	1964.3	0.0507827
3250	1965.69	0.0550741
3270	1966.96	0.0503628
3830	1955.14	0.18067
3850	1979.01	0.0472305
3870	1981.76	0.0824015
4110	1991.08	0.0296333
4130	1990.9	0.0279024
4150	1991.31	0.0282477
4170	1992.1	0.0306047
4190	1992.24	0.0382703
4210	1992.37	0.035395
4230	1990.91	0.0437759
4250	1992.86	0.0298653
4270	1985.8	0.0428409
4290	1987.9	0.044227
4310	1991.53	0.0357191
4330	1992.22	0.0337228
4350	1994.5	0.0390383
4450	1995.83	0.0391668
4470	1995.6	0.0299102
4490	1995.71	0.0323543
4510	1996.01	0.029791
4530	1996.62	0.0298216
4550	1996.68	0.0298258
4570	1997.08	0.0300282
4630	1999.34	0.0448979
4650	1999.87	0.0309955
4670	2000	0.0657011
4690	1999.99	0.0338448
4710	1998.61	0.0309285
4730	1998.78	0.0305935
4750	1998.74	0.0307871
4770	1998.12	0.0325103
4790	1997.98	0.0401535
4810	1997.88	0.034054
4830	1998.04	0.0316984
4850	1997.23	0.0452052
4890	1998.17	0.0375909
4910	1997.67	0.0305269
4930	1996.95	0.0340906
4950	1996.59	0.0367529
4970	1996.21	0.0320135
4990	1995.76	0.0377618
5010	1996.15	0.0331316
5030	1992.34	0.0404192
