#BinCenter	BinContent	BinError
2010	41.3117	0.00207499
2030	41.3267	0.00148962
2050	41.3235	0.00124098
2070	41.3141	0.00153353
2090	41.3057	0.00132082
2110	41.3026	0.00116024
2130	41.2931	0.00178803
2170	41.2564	0.00238015
2190	41.2492	0.00179814
2210	41.244	0.00136997
2230	41.2345	0.00140171
2250	41.2265	0.00192578
2270	41.2208	0.00159044
2290	41.2132	0.00217509
2310	41.2153	0.00202992
2330	41.2064	0.00229565
2350	41.2075	0.00199319
2370	41.2058	0.00193984
2390	41.209	0.00225539
2410	41.2017	0.00194872
2430	41.2058	0.0020492
2450	41.1894	0.00198578
2470	41.1849	0.00214356
2490	41.1959	0.00223471
2510	41.1892	0.00216603
2530	41.1888	0.00210376
2550	41.191	0.00253094
2570	41.1959	0.00320917
2590	41.2091	0.00295017
2610	41.2106	0.00337719
2630	41.2065	0.00224458
2650	41.2094	0.00246089
2670	41.2173	0.00203508
2690	41.2237	0.00202184
2710	41.2266	0.00219079
2730	41.2323	0.00146605
2750	41.2333	0.00138492
2770	41.2377	0.00153702
2790	41.2362	0.00206734
2810	41.2373	0.00217367
2830	41.2409	0.00202261
2850	41.245	0.00204629
2870	41.2516	0.00202891
2890	41.2519	0.00209727
2910	41.2569	0.00212744
2930	41.2527	0.00218087
2950	41.2598	0.00229657
2970	41.2599	0.00209988
2990	41.2579	0.00213622
3010	41.2624	0.002126
3030	41.2663	0.00166791
3050	41.272	0.00177663
3070	41.2727	0.00123578
3190	41.2955	0.00642776
3210	41.2856	0.00176924
3230	41.2848	0.00204809
3250	41.2809	0.00218057
3270	41.2845	0.0019236
3830	41.0349	0.00731316
3850	41.047	0.0012566
3870	41.0509	0.00218265
4110	41.0968	0.000784019
4130	41.0998	0.000745296
4150	41.1041	0.000755578
4170	41.111	0.000811248
4190	41.1121	0.00102489
4210	41.1124	0.000953843
4230	41.1205	0.00118427
4250	41.1252	0.00080407
4270	41.1177	0.0012726
4290	41.1251	0.00126598
4310	41.1289	0.000980793
4330	41.1294	0.000930031
4350	41.1316	0.00104164
4450	41.1497	0.0010412
4470	41.1537	0.000808127
4490	41.1578	0.000874312
4510	41.1597	0.000808699
4530	41.1631	0.000809607
4550	41.1678	0.000812856
4570	41.172	0.000818565
4630	41.1825	0.00116884
4650	41.1863	0.00080029
4670	41.1878	0.00171379
4690	41.1927	0.000874837
4710	41.1895	0.000836239
4730	41.189	0.000825059
4750	41.1874	0.000822889
4770	41.1862	0.000886676
4790	41.1849	0.00108836
4810	41.1845	0.000928454
4830	41.1837	0.000859144
4850	41.1826	0.00123328
4890	41.1777	0.000993636
4910	41.1767	0.000820252
4930	41.1735	0.000930586
4950	41.1711	0.0010084
4970	41.1669	0.000877624
4990	41.1633	0.00102715
5010	41.1601	0.000896441
5030	41.1556	0.00113126
