#calibrated on 152Eu source
# det, crystal, a1, a0
1  0  0.0009553496117321415 0.057350040090110854
1  1  0.0011895030326813012 0.14256671494694198
1  2  0.0010883913167274357 0.15407147517100803
2  0  0.0033281078170240754 0.12825315250732064
2  1  0.001742841179671846 0.27396782688724264
2  2  0.002189800019084362 0.32772682518036034
3  0  0.0010940672966149624 0.33366897596909895
3  1  0.0016254967176575665 0.6014119200132528
3  2  0.0016738869576871647 0.5032348439179014
4  0  0.0016860044868888847 0.1890687954392542
4  1  0.002333696808621365 0.5833199047974201
4  2  0.002384849043260483 1.2862719009594066
5  0  0.0017500448388282472 0.6968668053022334
5  1  0.001704946565501119 0.06022794431131351
5  2  0.0016911180123382807 0.39084455344986885
6  0  0.0023210181726009403 -0.26276033605112026
6  1  0.0017503133031592508 0.2644202175196921
6  2  0.0016920939171408875 0.40569500981344864
7  0  0.0016505878481766904 1.009944885718222
7  1  0.0022905131699056435 1.559152584047639
7  2  0.001829003524145406 0.5870760264264655
8  0  0.002370847250037083 0.49781839473118616
8  1  0.0016717343456079906 -0.05862544092341174
8  2  0.0018032285326407872 0.14301503893489828
9  0  0.0011293240557654729 -0.23892122590237297
9  1  0.0010928170716852127 0.05402690692606865
9  2  0.0017155877219110843 -0.050459026839746575
10 0  0.001596952243486885 0.0015761726796522724
10 1  0.001628494125627998 0.39483342575105324
10 2  0.0011042571179439525 0.22437424768287254
11 0  0.001 0
11 1  0.0017627667536738215 0.2334667609170534
11 2  0.001643284311198198 0.24228724945401994
12 0  0.0010710965531989414 0.09825279771555498
12 1  0.0017003912238208589 0.3185926367563341
12 2  0.0006390658948819777 -0.12772374954617743
