#                   BB7 Detector Map
#----------------------------------------------------#
#           CRATEID  FEBEXID  FEBEXCH    DET     Side    Strip
# Junction (front strips) -> Side 0; Ohmic (back strips) -> Side 1
#-------------------- BB7#1 Junction (Front) ---------------------------#
            0       0       0       0       0       0
            0       0       1       0       0       1
            0       0       2       0       0       2
            0       0       3       0       0       3
            0       0       4       0       0       4
            0       0       5       0       0       5
            0       0       6       0       0       6
            0       0       7       0       0       7
            0       0       8       0       0       8
            0       0       9       0       0       9
            0       0       10      0       0       10
            0       0       11      0       0       11
            0       0       12      0       0       12
            0       0       13      0       0       13
            0       0       14      0       0       14
            0       0       15      0       0       15
            0       1       0       0       0       16
            0       1       1       0       0       17
            0       1       2       0       0       18
            0       1       3       0       0       19
            0       1       4       0       0       20
            0       1       5       0       0       21
            0       1       6       0       0       22
            0       1       7       0       0       23
            0       1       8       0       0       24
            0       1       9       0       0       25
            0       1       10      0       0       26
            0       1       11      0       0       27
            0       1       12      0       0       28
            0       1       13      0       0       29
            0       1       14      0       0       30
            0       1       15      0       0       31
#-------------------- BB7#1 Ohmic (Back) ---------------------------#
            0       3       0       0       1       0
            0       3       1       0       1       1
            0       3       2       0       1       2
            0       3       3       0       1       3
            0       3       4       0       1       4
            0       3       5       0       1       5
            0       3       6       0       1       6
            0       3       7       0       1       7
            0       3       8       0       1       8
            0       3       9       0       1       9
            0       3       10      0       1       10
            0       3       11      0       1       11
            0       3       12      0       1       12
            0       3       13      0       1       13
            0       3       14      0       1       14
            0       3       15      0       1       15
            0       2       0       0       1       16
            0       2       1       0       1       17
            0       2       2       0       1       18
            0       2       3       0       1       19
            0       2       4       0       1       20
            0       2       5       0       1       21
            0       2       6       0       1       22
            0       2       7       0       1       23
            0       2       8       0       1       24
            0       2       9       0       1       25
            0       2       10      0       1       26
            0       2       11      0       1       27
            0       2       12      0       1       28
            0       2       13      0       1       29
            0       2       14      0       1       30
            0       2       15      0       1       31
#-------------------- BB7#2 Junction (Front) ---------------------------#
            1       1       0       1       0       0
            1       1       1       1       0       1
            1       1       2       1       0       2
            1       1       3       1       0       3
            1       1       4       1       0       4
            1       1       5       1       0       5
            1       1       6       1       0       6
            1       1       7       1       0       7
            1       1       8       1       0       8
            1       1       9       1       0       9
            1       1       10      1       0       10
            1       1       11      1       0       11
            1       1       12      1       0       12
            1       1       13      1       0       13
            1       1       14      1       0       14
            1       1       15      1       0       15
            1       0       0       1       0       16
            1       0       1       1       0       17
            1       0       2       1       0       18
            1       0       3       1       0       19
            1       0       4       1       0       20
            1       0       5       1       0       21
            1       0       6       1       0       22
            1       0       7       1       0       23
            1       0       8       1       0       24
            1       0       9       1       0       25
            1       0       10      1       0       26
            1       0       11      1       0       27
            1       0       12      1       0       28
            1       0       13      1       0       29
            1       0       14      1       0       30
            1       0       15      1       0       31
#-------------------- BB7#2 Ohmic (Back) ---------------------------#
            1       2       0       1       1       0
            1       2       1       1       1       1
            1       2       2       1       1       2
            1       2       3       1       1       3
            1       2       4       1       1       4
            1       2       5       1       1       5
            1       2       6       1       1       6
            1       2       7       1       1       7
            1       2       8       1       1       8
            1       2       9       1       1       9
            1       2       10      1       1       10
            1       2       11      1       1       11
            1       2       12      1       1       12
            1       2       13      1       1       13
            1       2       14      1       1       14
            1       2       15      1       1       15
            1       3       0       1       1       16
            1       3       1       1       1       17
            1       3       2       1       1       18
            1       3       3       1       1       19
            1       3       4       1       1       20
            1       3       5       1       1       21
            1       3       6       1       1       22
            1       3       7       1       1       23
            1       3       8       1       1       24
            1       3       9       1       1       25
            1       3       10      1       1       26
            1       3       11      1       1       27
            1       3       12      1       1       28
            1       3       13      1       1       29
            1       3       14      1       1       30
            1       3       15      1       1       31
