#----------------------------------------------------#
#           FEBEXID  FEBEXCHA  DetID  CrystalID
#----------------------------------------------------#
#ch 1 - 16
TimeMachineD 0   1   30   0
TimeMachineU 0   2   31   0
SC41L_D 0   3   32  0
SC41R_D 0   4   33  0
FRSACCEPT 0   5   34    0
0   6   -1   -1
0   7   13    0
0   8   13    1 
0   9   13    2
0   10  -1   -1
0   11  14    0
0   12  14    1
0   13  14    2
0   14  15    0
0   15  15    1
0   16  15    2
1   1    1    0
1   2    1    1
1   3    1    2
1   4   -1   -1
1   5    2    0
1   6    2    1
1   7    2    2
1   8   -1   -1
1   9    3    0
1   10   3    1
1   11   3    2
1   12  -1   -1
1   13   4    0
1   14   4    1
1   15   4    2
1   16  -1   -1
2   1    5    0
2   2    5    1
2   3    5    2
2   4   -1   -1
2   5    6    0
2   6    6    1
2   7    6    2
2   8   -1   -1
2   9    7    0
2   10   7    1
2   11   7    2
2   12  -1   -1
2   13   8    0
2   14   8    1
2   15   8    2
2   16  -1   -1
3   1    9    0
3   2    9    1
3   3    9    2
3   4   -1   -1
3   5   10    0
3   6   10    1
3   7   10    2
3   8   -1   -1
3   9   11    0
3   10  11    1
3   11  11    2
3   12  -1   -1
3   13  12    0
3   14  12    1
3   15  12    2
3   16  -1   -1
