FEE	Channel	   Offset	Peaks	       INL	Comment
1	1	   275.811	9	  0.999931	
1	2	   283.022	9	  0.999897	
1	3	  -147.233	10	   0.99999	
1	4	   118.911	9	  0.999952	
1	5	      89.1	10	  0.999961	
1	6	  -116.767	10	   0.99998	
1	7	   105.633	10	  0.999983	
1	8	   15.1667	10	  0.999972	
1	9	   24.9667	10	  0.999972	
1	10	   193.944	9	  0.999983	
1	11	   73.0333	10	  0.999982	
1	12	  -147.789	9	  0.999972	
1	13	     -15.5	10	  0.999982	
1	14	   210.833	10	  0.999994	
1	15	  -111.478	9	  0.999993	
1	16	  -50.9667	10	  0.999985	
1	17	      70.1	10	  0.999982	
1	18	  -59.0333	10	  0.999985	
1	19	      63.5	10	  0.999971	
1	20	  -12.8333	10	  0.999984	
1	21	  -326.767	10	  0.999982	
1	22	      20.7	10	  0.999971	
1	23	    -114.1	10	  0.999987	
1	24	    -212.3	10	  0.999983	
1	25	  -88.8333	10	  0.999981	
1	26	   136.767	10	  0.999976	
1	27	    -252.7	10	  0.999986	
1	28	   29.0333	10	  0.999978	
1	29	   61.1111	9	  0.999989	
#1	30	 FIT FAILED
1	31	   169.167	10	  0.999876	
1	32	  -22.4889	9	   0.99999	
1	33	   116.278	9	  0.999995	
#1	34	 FIT FAILED
#1	35	 FIT FAILED
1	36	     194.1	10	  0.999918	
1	37	   192.233	10	  0.999943	
1	38	   157.967	10	  0.999968	
1	39	     235.3	10	  0.999957	
#1	40	 FIT FAILED
#1	41	 FIT FAILED
1	42	   365.967	10	  0.999898	
#1	43	 FIT FAILED
#1	44	 FIT FAILED
1	45	   294.033	10	  0.999953	
#1	46	 FIT FAILED
#1	47	 FIT FAILED
1	48	  -225.633	10	  0.999969	
1	49	   10.1667	9	  0.999986	
1	50	   56.4333	10	  0.999952	
1	51	     183.1	10	   0.99998	
1	52	  -5.76667	10	  0.999945	
1	53	   327.433	10	  0.999991	
1	54	   79.5444	9	  0.999917	
1	55	   168.733	9	  0.999917	
