#----------------------------------------------------#
#           FEBEXID  FEBEXCHA  DetID  CrystalID
#----------------------------------------------------#
#ch 1 - 16
TimeMachineD 0   1   13   0
TimeMachineU 0   2   14   0
SC41L_D 0   3   15  0
SC41R_D 0   4   16  0
FRSACCEPT 0   5   17    0
0   6   -1   -1
0   7   -1   -1
0   8   -1   -1
0   9   -1   -1
0   10  -1   -1
0   11  -1   -1
0   12  -1   -1
0   13  -1   -1
0   14  -1   -1
0   15  -1   -1
0   16  -1   -1
1   1    1    0
1   2    1    1
1   3    1    2
1   4   -1   -1
1   5    2    0
1   6    2    1
1   7    2    2
1   8   -1   -1
1   9    7    0
1   10   7    1
1   11   7    2
1   12  -1   -1
1   13   8    0
1   14   8    1
1   15   8    2
1   16  -1   -1
2   1    9    0
2   2    9    1
2   3    9    2
2   4   -1   -1
2   5   10    0
2   6   10    1
2   7   10    2
2   8   -1   -1
2   9   12    0
2   10  12    1
2   11  12    2
2   12  -1   -1
2   13  11    0
2   14  11    1
2   15  11    2
2   16  -1   -1
3   1    4    0
3   2    4    1
3   3    4    2
3   4   -1   -1
3   5    5    0
3   6    5    1
3   7    5    2
3   8   -1   -1
3   9    3    0
3   10   3    1
3   11   3    2
3   12  -1   -1
3   13   6    0
3   14   6    1
3   15   6    2
3   16  -1   -1
